"","MAIN_BAS","Total_discharge","HYRIV_I","NEXT_DO","MAIN_RI","rv_d_3_","ENDORHE","ISO3","Country","Continent","sed_sum","geometry","prop_dis","sed_pp"
"1",1080000010,0,10077982,0,10077982,0,0,"EGY","Egypt","Africa",0,c(2979981.95595507, 3621165.57477227),NA,NA
"2",1080000010,0,10078339,0,10078339,0,0,"EGY","Egypt","Africa",0,c(2977995.53098348, 3619213.14114331),NA,NA
"3",1080000010,0,10078753,0,10078753,0,0,"EGY","Egypt","Africa",0,c(2976467.96729617, 3616772.42612676),NA,NA
"4",1080000010,0,10079419,0,10079419,0,0,"EGY","Egypt","Africa",0,c(2975170.15798554, 3612866.88266165),NA,NA
"5",1080000010,0,10080171,0,10080171,0,0,"EGY","Egypt","Africa",0,c(2973564.80310724, 3608472.55927136),NA,NA
"6",1080000010,0,10075121,0,10075121,0,0,"EGY","Egypt","Africa",0,c(2980408.59337181, 3637756.28353096),NA,NA
"7",1080000010,0,10075905,0,10075905,0,0,"EGY","Egypt","Africa",0,c(2978431.3235995, 3633365.49333179),NA,NA
"8",1080000010,0,10080580,0,10080580,0,0,"EGY","Egypt","Africa",0,c(2973182.45130847, 3606031.00023495),NA,NA
"9",1080000100,0,10081559,0,10081559,0,0,"EGY","Egypt","Africa",0,c(2974024.27703749, 3600658.89670341),NA,NA
"10",1080000110,0.005,10082081,0,10082081,0,0,"EGY","Egypt","Africa",3.49976809129293,c(2972951.12829063, 3597728.26843061),0,0
"11",1080000110,0.005,10084774,0,10084774,0,0,"EGY","Egypt","Africa",3.49976809129293,c(2976010.74234793, 3590400.49531543),0,0
"12",1080000110,0.005,10085047,0,10085047,0,0,"EGY","Egypt","Africa",3.49976809129293,c(2983975.10495973, 3583559.69331864),0,0
"13",1080000110,0.005,10086595,0,10086595,0,0,"EGY","Egypt","Africa",3.49976809129293,c(2989796.65385995, 3578183.73165851),0,0
"14",1080000110,0.005,10088364,0,10088364,0,0,"EGY","Egypt","Africa",3.49976809129293,c(3001898.78633258, 3562050.34089217),0,0
"15",1080000110,0.005,10088878,0,10088878,0,0,"EGY","Egypt","Africa",3.49976809129293,c(3002739.15714501, 3559116.11205145),0,0
"16",1080000110,0.005,10090117,0,10090117,0.001,0,"EGY","Egypt","Africa",3.49976809129293,c(3005798.47348964, 3551779.35175795),0.2,0.699953618258586
