"","ISO3","n_basin","n_trans_basin","n_crypt_basin","n_trans_crypt_basin","prop_trans","prop_crypt","prop_trans_crypt","sed_iso3","trans_sed_iso3","crypt_sed_iso3","trans_crypt_sed_iso3","prop_trans_sed","prop_crypt_sed","prop_trans_crypt_sed"
"1","ABW",1,1,1,1,1,1,1,8244.09196460713,8244.09196460713,8244.09196460713,8244.09196460713,1,1,1
"2","AFG",27,18,1,1,0.666666666666667,0.037037037037037,0.037037037037037,386542902.961129,385446771.600229,110977693.947042,110977693.947042,0.997164269858524,0.287103173016223,0.287103173016223
"3","AGO",117,13,105,9,0.111111111111111,0.897435897435897,0.0769230769230769,187473661.321994,61476738.9758439,174925935.456415,48956771.3239946,0.327922005375758,0.933069393443872,0.261139463425261
"4","AIA",1,1,1,1,1,1,1,1409.42391182249,1409.42391182249,1409.42391182249,1409.42391182249,1,1,1
"5","ALA",3,2,3,2,0.666666666666667,1,0.666666666666667,1009.42444976294,36.1741146394328,1009.42444976294,36.1741146394328,0.0358363765093349,1,0.0358363765093349
"6","ALB",20,10,19,9,0.5,0.95,0.45,43723192.3400318,36019121.5500848,43441469.3767555,35737398.5868084,0.823798986816125,0.993556669854172,0.817355656670297
"7","AND",2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
"8","ARE",61,22,50,15,0.360655737704918,0.819672131147541,0.245901639344262,728323.71083066,724232.279224074,724559.724808402,720468.293201817,0.994382399548795,0.994831987526584,0.989214387075379
"9","ARG",554,83,220,55,0.149819494584838,0.397111913357401,0.0992779783393502,442424699.930639,388268071.909794,326687633.17697,317141072.796472,0.877591309822132,0.738402790866301,0.716824971223785
"10","ARM",1,1,1,1,1,1,1,16564912.9978314,16564912.9978314,16564912.9978314,16564912.9978314,1,1,1
"11","ATF",4,1,1,1,0.25,0.25,0.25,24.3539768010378,0,0,0,0,0,0
"12","ATG",1,1,1,1,1,1,1,87616.8179907491,87616.8179907491,87616.8179907491,87616.8179907491,1,1,1
"13","AUS",1736,4,876,4,0.00230414746543779,0.504608294930876,0.00230414746543779,319345512.240909,4170.98558930571,301971175.425048,4170.98558930571,0.0000130610433822511,0.945593922100418,0.0000130610433822511
"14","AUT",6,6,6,6,1,1,1,32776442.133734,32776442.133734,32776442.133734,32776442.133734,1,1,1
"15","AZE",35,11,32,11,0.314285714285714,0.914285714285714,0.314285714285714,27947049.0951343,22315364.0789964,27933982.8066228,22315364.0789964,0.798487310879687,0.999532462677293,0.798487310879687
"16","BDI",2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
"17","BEL",13,11,11,10,0.846153846153846,0.846153846153846,0.769230769230769,424327.372758217,424278.631468,424310.593603011,424264.748051872,0.999885132816438,0.99996045705207,0.999852414172723
"18","BEN",13,9,11,9,0.692307692307692,0.846153846153846,0.692307692307692,14912991.5262245,14907324.236465,14912496.5626379,14907324.236465,0.999619976330736,0.999966809906267,0.999619976330736
"19","BES",2,2,2,2,1,1,1,19099.8861181891,19099.8861181891,19099.8861181891,19099.8861181891,1,1,1
"20","BFA",3,3,3,3,1,1,1,16718909.7756726,16718909.7756726,16718909.7756726,16718909.7756726,1,1,1
"21","BGD",66,16,65,16,0.242424242424242,0.984848484848485,0.242424242424242,7431210.55695634,6237362.99058413,7430103.47251028,6237362.99058413,0.839346825497408,0.999851022328386,0.839346825497408
"22","BGR",21,15,21,15,0.714285714285714,1,0.714285714285714,14446506.8586272,13364623.5996022,14446506.8586272,13364623.5996022,0.925111082588176,1,0.925111082588176
"23","BHR",2,2,2,2,1,1,1,912.59048224608,912.59048224608,912.59048224608,912.59048224608,1,1,1
"24","BHS",14,2,9,1,0.142857142857143,0.642857142857143,0.0714285714285714,98064.3857708713,215.195739284507,97558.644084342,NA,0.00219443315320727,0.994842758841003,NA
"25","BIH",14,13,6,6,0.928571428571429,0.428571428571429,0.428571428571429,21806643.4051345,21356704.4700463,18376042.0498277,18376042.0498277,0.979366887111921,0.842680907300983,0.842680907300983
"26","BLM",1,1,1,1,1,1,1,17495.7395000756,17495.7395000756,17495.7395000756,17495.7395000756,1,1,1
"27","BLR",6,6,6,6,1,1,1,553721.839758912,553721.839758912,553721.839758912,553721.839758912,1,1,1
"28","BLZ",19,9,17,8,0.473684210526316,0.894736842105263,0.421052631578947,545542.814306746,324711.441382724,544674.969333545,324711.441382724,0.595207988937321,0.998409208314285,0.595207988937321
"29","BOL",30,22,3,3,0.733333333333333,0.1,0.1,382150616.977489,379497042.240154,334433146.651727,334433146.651727,0.993056207109326,0.875134388887897,0.875134388887897
"30","BRA",507,11,461,11,0.0216962524654832,0.909270216962525,0.0216962524654832,1546030764.59223,710536761.096552,1545971027.87591,710536761.096552,0.459587724493928,0.999961361236984,0.459587724493928
"31","BRB",1,NA,1,NA,NA,1,NA,272326.535389982,NA,272326.535389982,NA,NA,1,NA
"32","BRN",13,10,12,9,0.769230769230769,0.923076923076923,0.692307692307692,110258.270689769,71895.6461735386,110211.917307708,71849.2927914781,0.65206578811516,0.999579592698393,0.651645380813553
"33","BTN",1,1,1,1,1,1,1,32963422.8942015,32963422.8942015,32963422.8942015,32963422.8942015,1,1,1
"34","BWA",5,4,3,3,0.8,0.6,0.6,3932809.24038422,3930050.9423285,3213416.78546652,3213416.78546652,0.999298644331031,0.817079240068248,0.817079240068248
"35","CAF",4,4,3,3,1,0.75,0.75,26633751.4961642,26633751.4961642,13178167.7139186,13178167.7139186,1,0.494792020411263,0.494792020411263
"36","CAN",2664,65,2540,65,0.0243993993993994,0.953453453453453,0.0243993993993994,632104632.008652,189662078.358247,631930036.261667,189662078.358247,0.300048550119865,0.999723786635719,0.300048550119865
"37","CHE",5,5,5,5,1,1,1,33078551.8612498,33078551.8612498,33078551.8612498,33078551.8612498,1,1,1
"38","CHL",512,98,426,57,0.19140625,0.83203125,0.111328125,385160898.683235,221297630.409891,354952304.208365,201409323.130801,0.574558921132571,0.921568896068772,0.522922559946679
"39","CHN",1032,90,360,24,0.0872093023255814,0.348837209302326,0.0232558139534884,4300706150.82955,1788097616.62241,3456971105.14738,1438448873.74599,0.415768377078613,0.803814765275368,0.334468067172766
"40","CIV",32,11,29,11,0.34375,0.90625,0.34375,45415942.5983711,43037639.5700155,45414706.1881154,43037639.5700155,0.94763285991028,0.999972775853918,0.94763285991028
"41","CMR",35,12,34,11,0.342857142857143,0.971428571428571,0.314285714285714,133418303.234754,128158703.481041,113529637.028089,108270037.274376,0.960578124393782,0.850930001922823,0.811508126316606
"42","COD",8,7,8,7,0.875,1,0.875,210642085.05194,210642079.452735,210642085.05194,210642079.452735,0.999999973418391,1,0.999999973418391
"43","COG",15,11,14,10,0.733333333333333,0.933333333333333,0.666666666666667,52077915.7780144,51982531.928312,52077900.550901,51982516.7011986,0.998168439572179,0.99999970760901,0.998168147181189
"44","COL",114,26,107,26,0.228070175438596,0.93859649122807,0.228070175438596,212346984.524818,197285215.662109,212345777.958857,197285215.662109,0.929070012948789,0.999994317951045,0.929070012948789
"45","COM",1,1,1,1,1,1,1,1911506.67878434,1911506.67878434,1911506.67878434,1911506.67878434,1,1,1
"46","CRI",44,12,42,12,0.272727272727273,0.954545454545455,0.272727272727273,12892811.2733796,5434143.07403136,12892632.1436208,5434143.07403136,0.421486280905351,0.999986106229665,0.421486280905351
"47","CUB",110,1,96,1,0.00909090909090909,0.872727272727273,0.00909090909090909,15730212.7251037,24114.6683215329,15728065.7706686,24114.6683215329,0.0015330160337278,0.99986351396052,0.0015330160337278
"48","CUW",1,1,1,1,1,1,1,17057.3508063472,17057.3508063472,17057.3508063472,17057.3508063472,1,1,1
"49","CYM",2,NA,1,NA,NA,0.5,NA,5320.20130807842,NA,2596.51407765428,NA,NA,0.488048088276589,NA
"50","CYP",8,NA,8,NA,NA,1,NA,1577072.525176,NA,1577072.525176,NA,NA,1,NA
"51","CZE",4,4,4,4,1,1,1,3280473.35054971,3280473.35054971,3280473.35054971,3280473.35054971,1,1,1
"52","DEU",56,16,53,16,0.285714285714286,0.946428571428571,0.285714285714286,9761730.65492068,8449203.06129496,9761730.50519848,8449203.06129496,0.865543555746019,0.999999984662331,0.865543555746019
"53","DJI",23,17,12,7,0.739130434782609,0.521739130434783,0.304347826086957,9080406.91192777,6447228.44871221,3910846.76647238,1341230.28576942,0.710015367289688,0.430690695296397,0.147705967230126
"54","DMA",1,1,1,1,1,1,1,80268.9452101827,80268.9452101827,80268.9452101827,80268.9452101827,1,1,1
"55","DNK",75,3,71,3,0.04,0.946666666666667,0.04,366009.003911245,15679.2107657814,365970.591214091,15679.2107657814,0.0428383198179012,0.999895049857398,0.0428383198179012
"56","DOM",30,6,27,5,0.2,0.9,0.166666666666667,21202054.4603682,11147709.2324792,21038423.3774087,10984164.2112904,0.525784388174126,0.992282300601325,0.518070747899574
"57","DZA",671,98,54,10,0.146050670640835,0.0804769001490313,0.014903129657228,97285618.3267289,12579888.2639972,71425513.3354366,9550428.50139791,0.129308817483673,0.734183680629522,0.0981689654201844
"58","ECU",72,7,69,7,0.0972222222222222,0.958333333333333,0.0972222222222222,95574441.6811798,46664237.8037949,95561127.6032995,46664237.8037949,0.488250174240712,0.999860694160007,0.488250174240712
"59","EGY",432,34,124,8,0.0787037037037037,0.287037037037037,0.0185185185185185,768794.334126919,411306.343415933,689100.556393152,403452.405630932,0.53500178806993,0.896339275413273,0.524785872790169
"60","ERI",56,17,45,12,0.303571428571429,0.803571428571429,0.214285714285714,63688168.6689461,40068842.6656018,57991040.1105008,37234856.1367193,0.629141071301351,0.910546516291602,0.584643222044392
